"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "PostCSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Menu\Following\index.jsx", "JavaScript JSX", 0, 0, 85, 0, 0, 0, 0, 1, 10, 96
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Menu\index.jsx", "JavaScript JSX", 0, 0, 99, 0, 0, 0, 0, 1, 11, 111
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\BlockedUserModal\ListItem\index.jsx", "JavaScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 6, 60
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\BlockedUserModal\index.jsx", "JavaScript JSX", 0, 0, 104, 0, 0, 0, 0, 0, 10, 114
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\ConfirmDeclineBlogSubmission\index.jsx", "JavaScript JSX", 0, 0, 76, 0, 0, 0, 0, 0, 7, 83
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\ConfirmDeleteBlog\index.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 7, 85
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\CreateNewList\index.jsx", "JavaScript JSX", 0, 0, 153, 0, 0, 0, 0, 2, 13, 168
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\DeleteAccountModal\index.jsx", "JavaScript JSX", 0, 0, 106, 0, 0, 0, 0, 0, 14, 120
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\DeleteReadingHistory\index.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 0, 2, 6, 64
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\DisableComments\index.jsx", "JavaScript JSX", 0, 0, 79, 0, 0, 0, 0, 0, 7, 86
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\EditEmail\index.jsx", "JavaScript JSX", 0, 0, 113, 0, 0, 0, 0, 0, 14, 127
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\EditProfileInfoModal\index.jsx", "JavaScript JSX", 0, 0, 363, 0, 0, 0, 0, 8, 43, 414
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\EditUsername\index.jsx", "JavaScript JSX", 0, 0, 150, 0, 0, 0, 0, 0, 25, 175
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\ManagePublication\PublicationListItem\index.jsx", "JavaScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 3, 56
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\ManagePublication\index.jsx", "JavaScript JSX", 0, 0, 114, 0, 0, 0, 0, 0, 14, 128
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\ReportBlog\index.jsx", "JavaScript JSX", 0, 0, 166, 0, 0, 0, 0, 0, 14, 180
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\SubmitBlog\ConfirmSubmission\index.jsx", "JavaScript JSX", 0, 0, 185, 0, 0, 0, 0, 0, 23, 208
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\SubmitBlog\SubmitToPublication\NoData\index.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\SubmitBlog\SubmitToPublication\PublicationListItem\index.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\SubmitBlog\SubmitToPublication\PublicationListItem\skeleton.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\SubmitBlog\SubmitToPublication\index.jsx", "JavaScript JSX", 0, 0, 157, 0, 0, 0, 0, 0, 22, 179
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Modals\SubmitBlog\index.jsx", "JavaScript JSX", 0, 0, 168, 0, 0, 0, 0, 4, 27, 199
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\NotFound\Blog\index.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\NotFound\index.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 2, 8, 85
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\Spinner\index.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Common\globalLoader.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\CreateNewBlogComp\Header\ProfileSection\index.jsx", "JavaScript JSX", 0, 0, 126, 0, 0, 0, 0, 0, 6, 132
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\CreateNewBlogComp\Header\index.jsx", "JavaScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 5, 70
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\CreateNewBlogComp\WriteBlogComp\index.jsx", "JavaScript JSX", 0, 0, 263, 0, 0, 0, 0, 2, 42, 307
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\DefaultComp\index.jsx", "JavaScript JSX", 0, 0, 140, 0, 0, 0, 0, 1, 11, 152
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Home\Home components\Home Main Content\Blog Comp\MoreComponent\index.jsx", "JavaScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 6, 71
